ID,TARGET
1154270440,0
1147987574,0
1129622364,0
619797496,0
7391484886,0
10165219189,2
741382912,0
1130214814,1
78018389,1
75592880,0
1148114087,0
1127182550,1
1389719965,0
132955230,0
121208304,0
55887278,0
1147122590,2
1378226366,0
1433985624,2
1150610679,1
1147676750,0
1148190337,0
1392576319,1
1398864197,2
1129839899,1
1408021808,1
1148017175,1
345336837,0
369442637,1
6405058408,0
3151488250,0
1150080054,0
1148102072,0
1380252351,0
6448346949,0
6435392625,1
1149159698,2
1154227938,0
632762770,0
1446874849,0
1153926929,0
7426755515,1
6377649940,0
1149203833,0
1151199731,0
1152562934,0
1152591525,0
132847243,0
6397842294,0
6397557852,0
1425237833,2
438504201,1
632842011,1
1139474831,1
1153957998,0
1030773558,1
632999486,0
1153928358,0
1154265733,0
637151602,0
7399942108,2
499826213,1
734441518,1
6164987266,0
1025595344,0
1053577654,1
77736350,1
1152687879,1
1059907552,0
1152362603,0
1150220086,1
627918368,1
1020138498,0
634379004,0
5409812465,1
10139218330,0
7220406234,1
515752774,0
1021967070,1
107240146,0
1143500763,0
640076500,1
10152023109,0
627920508,0
1050780459,2
3424757922,1
361491376,0
727207708,1
734685065,0
6165078647,1
1056087321,0
734771440,0
1029962359,1
1146523752,0
1032476449,1
1152370646,0
1137672269,0
1152894103,0
1153866326,1
1153623926,0
1152362098,0
3116495178,1
10439599984,0
1131069683,0
3151529401,0
1033391776,2
634872823,1
525061515,0
1021953555,1
124845766,2
365734923,0
1153082731,0
1150012161,0
334970752,0
176097325,1
132067393,0
46148802,1
819223673,2
3151633152,2
1153223724,2
570899581,1
3114598996,1
3112815111,0
563180603,0
335256436,1
5110691353,0
361473858,0
5114988613,1
1410857454,0
338016835,0
1132479594,0
131775794,0
1150719304,0
3114091921,0
1147145856,0
567153607,0
1134650157,0
5445344063,2
1152438031,0
590849069,1
118419181,0
644179228,1
643148424,1
1145182286,0
1037852707,1
468907532,0
627373544,0
648100365,1
65839978,0
633244039,0
810333680,0
636229061,0
648083566,1
633933410,0
1148690967,0
633862561,1
819748686,0
640201457,0
713155642,0
384534469,0
648017814,0
814598953,0
624163147,1
1020798516,1
87652404,0
714290462,0
1029167595,2
712207293,1
109397370,0
712754592,0
74635895,0
732143035,2
1154209851,1
645438740,0
85044442,1
751946212,0
643615278,0
435326567,0
1010485816,1
810496230,1
818905117,0
1133759521,1
1153592663,0
106112582,0
3151812230,0
88183164,1
4395663824,0
1148653210,1
1380679726,2
1010722602,1
723996004,0
1146421130,1
1130229691,0
1139485594,0
1147607999,0
79336999,1
733137626,0
751634788,0
1132595485,1
1402459359,0
1127395753,1
565344807,0
115937932,0
117727893,2
1129411326,0
111026039,1
1144642448,0
1154019604,1
1148723198,1
376108790,0
322299644,1
610152461,1
19005573,0
107291231,0
1153566067,1
1027371295,1
1152306787,1
10451853694,1
10448932684,1
1153864963,2
1153873842,1
